1494258998738,{"LABEL_STATE":"prepare"}
1494258998739,{"PARTICIPANT_ID":"p004-p1"}
1494258998739,{"LEVELS":"1,2"}
1494258998739,{"BASELINE_DURATION_IN_SEC":180}
1494258998739,{"BREAK_DURATION_IN_SEC":30}
1494258998739,{"NUMBER_OF_TRIALS_PER_LEVEL":10}
1494258998739,{"TOTAL_NUMBER_OF_TRIALS":20}
1494258998739,{"TRIAL_DURATION_IN_SEC":60}
1494258998739,{"STIMULI_DURATION_IN_MILLISEC":500}
1494258998739,{"PAUSE_BETWEEN_STIMULUS_IN_MILLISEC":2500}
1494258998739,{"NUMBER_OF_STIMULI_PER_TRIAL":20}
1494258998741,{"LABEL_STATE":"ready"}
1494258998741,{"LABEL_STATE":"start task"}
1494258998742,{"post request data":"{\"version\":1,\"time\":1494258998742,\"type\":\"TASK_START\",\"id\":10000,\"label\":10000}"}
1494258998757,{"post request response":"{message:null}\n"}
1494259017149,{"LABEL_STATE":"clicked: start button"}
1494259017150,{"LABEL_STATE":"start baseline"}
1494259017150,{"post request data":"{\"version\":1,\"time\":1494259017150,\"type\":\"BASELINE_START\",\"id\":20000,\"label\":20000}"}
1494259017193,{"post request response":"{message:null}\n"}
1494259197151,{"LABEL_STATE":"end baseline"}
1494259197153,{"post request data":"{\"version\":1,\"time\":1494259197153,\"type\":\"BASELINE_END\",\"id\":20000,\"label\":20000}"}
1494259197154,{"LABEL_STATE":"start break"}
1494259197154,{"post request data":"{\"version\":1,\"time\":1494259197154,\"type\":\"BREAK_START\",\"id\":1000,\"label\":1000}"}
1494259197198,{"post request response":"{message:null}\n"}
1494259197239,{"post request response":"{message:null}\n"}
1494259227156,{"LABEL_STATE":"end break"}
1494259227156,{"post request data":"{\"version\":1,\"time\":1494259227156,\"type\":\"BREAK_END\",\"id\":1000,\"label\":1000}"}
1494259227159,{"LABEL_STATE":"2-back (Trial 1/20)"}
1494259227159,{"post request data":"{\"version\":1,\"time\":1494259227159,\"type\":\"TRAINING_START\",\"id\":0,\"label\":2}"}
1494259227200,{"post request response":"{message:null}\n"}
1494259227241,{"post request response":"{message:null}\n"}
1494259287176,{"LABEL_STATE":"end trial"}
1494259287176,{"post request data":"{\"version\":1,\"time\":1494259287176,\"type\":\"TRAINING_END\",\"id\":0,\"label\":2}"}
1494259287177,{"LABEL_TRIAL":{"id":0,"n":2,"isLast":false,"left":0,"stimuli":[3,4,1,3,2,1,1,3,3,3,4,2,4,1,4,3,4,3,3,1],"answers":["B","B","N","N","N","N","N","N","N","Y","N","N","Y","N","Y","N","Y","Y","N","N"],"responses":["B","B","N","N","N","N","N","N","N","Y","N","N","Y","N","Y","N","N","Y","N","B"],"accuracy":"90.00000"}}
1494259287177,{"LABEL_STATE":"start break"}
1494259287177,{"post request data":"{\"version\":1,\"time\":1494259287177,\"type\":\"BREAK_START\",\"id\":1001,\"label\":1001}"}
1494259287222,{"post request response":"{message:null}\n"}
1494259287263,{"post request response":"{message:null}\n"}
1494259317178,{"LABEL_STATE":"end break"}
1494259317178,{"post request data":"{\"version\":1,\"time\":1494259317178,\"type\":\"BREAK_END\",\"id\":1001,\"label\":1001}"}
1494259317180,{"LABEL_STATE":"1-back (Trial 2/20)"}
1494259317180,{"post request data":"{\"version\":1,\"time\":1494259317180,\"type\":\"TRAINING_START\",\"id\":1,\"label\":1}"}
1494259317224,{"post request response":"{message:null}\n"}
1494259317264,{"post request response":"{message:null}\n"}
1494259377197,{"LABEL_STATE":"end trial"}
1494259377197,{"post request data":"{\"version\":1,\"time\":1494259377197,\"type\":\"TRAINING_END\",\"id\":1,\"label\":1}"}
1494259377198,{"LABEL_TRIAL":{"id":1,"n":1,"isLast":false,"left":0,"stimuli":[3,1,3,3,2,3,1,1,2,3,3,2,1,1,4,2,4,4,4,4],"answers":["B","N","N","Y","N","N","N","Y","N","N","Y","N","N","Y","N","N","N","Y","Y","Y"],"responses":["B","N","N","Y","N","N","N","Y","N","N","Y","N","N","Y","N","N","N","Y","Y","B"],"accuracy":"95.00000"}}
1494259377198,{"LABEL_STATE":"start break"}
1494259377198,{"post request data":"{\"version\":1,\"time\":1494259377198,\"type\":\"BREAK_START\",\"id\":1002,\"label\":1002}"}
1494259377241,{"post request response":"{message:null}\n"}
1494259377282,{"post request response":"{message:null}\n"}
1494259407199,{"LABEL_STATE":"end break"}
1494259407200,{"post request data":"{\"version\":1,\"time\":1494259407200,\"type\":\"BREAK_END\",\"id\":1002,\"label\":1002}"}
1494259407200,{"LABEL_STATE":"1-back (Trial 3/20)"}
